,city,total_absences,percent_missed
561,Topeka,10,21.2765957446808
562,Topeka,16,34.0425531914894
563,Topeka,6,12.7659574468085
564,Topeka,20,42.5531914893617
565,Kansas City,3,12
566,Overland Park,19,40.4255319148936
567,Kansas City,5,10.6382978723404
568,Topeka,10,21.2765957446808
569,Topeka,23,48.936170212766
570,Topeka,13,27.6595744680851
571,Topeka,7,14.8936170212766
572,Kansas City,6,12.7659574468085
573,Oneida,5,10.6382978723404
574,Topeka,7,14.8936170212766
575,Topeka,11,26.8292682926829
576,Topeka,6,12.7659574468085
577,Topeka,8,17.0212765957447
578,Topeka,11,23.4042553191489
579,White Cloud,5,11.1111111111111
580,Kansas City,13,27.6595744680851
581,Topeka,5,11.3636363636364
582,Topeka,5,10.6382978723404
583,Topeka,12,25.531914893617
584,Oneida,7,17.948717948718
585,Paxico,8,17.0212765957447
586,Topeka,9,19.1489361702128
587,White Cloud,10,21.2765957446808
588,Topeka,10,21.2765957446808
589,Topeka,6,12.7659574468085
590,Topeka,8,17.0212765957447
591,Topeka,19,40.4255319148936
592,Topeka,19,40.4255319148936
593,Overland Park,7,14.8936170212766
594,Topeka,7,14.8936170212766
595,Topeka,12,25.531914893617
596,Kansas City,10,21.2765957446808
597,Kansas City,14,29.7872340425532
598,Topeka,20,42.5531914893617
599,Kansas City,11,31.4285714285714
600,Topeka,5,10.6382978723404
601,Overland Park,5,10.6382978723404
602,Overland Park,8,17.0212765957447
603,Kansas City,5,10.6382978723404
604,Topeka,7,14.8936170212766
605,Fulton,5,10.6382978723404
606,Kansas City,12,25.531914893617
607,Topeka,6,12.7659574468085
608,Topeka,12,25.531914893617
609,Topeka,5,10.6382978723404
610,Topeka,17,36.1702127659575
